1.000000	0.826968	0.526813	0.003038
2.000000	0.823592	0.517265	0.003617
3.000000	0.823785	0.519001	0.008970
4.000000	0.834008	0.534144	0.008005
5.000000	0.832948	0.529803	0.008005
6.000000	0.828511	0.533275	0.006993
7.000000	0.826871	0.528839	0.005883
8.000000	0.826775	0.536362	0.008247
9.000000	0.824363	0.529514	0.007861
10.000000	0.828511	0.534722	0.006703
11.000000	0.831308	0.537519	0.007427
12.000000	0.834298	0.539545	0.003858
13.000000	0.828607	0.537037	0.005401
14.000000	0.826389	0.525270	0.005449
15.000000	0.828125	0.530285	0.006607
16.000000	0.827643	0.531829	0.004774
17.000000	0.829668	0.538291	0.004581
18.000000	0.825714	0.533565	0.001736
19.000000	0.827836	0.531250	-0.001206
20.000000	0.825810	0.531925	-0.001640
21.000000	0.828800	0.541956	-0.000289
22.000000	0.825039	0.527199	0.002652
23.000000	0.824942	0.525656	-0.001688
24.000000	0.829090	0.538291	-0.003086
25.000000	0.832755	0.548322	-0.001350
26.000000	0.840085	0.565104	-0.000916
27.000000	0.840760	0.557774	-0.000675
28.000000	0.840567	0.558931	0.001784
29.000000	0.840085	0.557967	0.001157
30.000000	0.846644	0.570505	-0.001736
31.000000	0.847415	0.574267	-0.000482
32.000000	0.843654	0.565201	-0.001206
33.000000	0.835648	0.551408	0.001157
34.000000	0.831308	0.540702	0.001254
35.000000	0.832079	0.534819	-0.002845
36.000000	0.833719	0.540702	-0.002701
37.000000	0.833333	0.541667	-0.000579
38.000000	0.835841	0.546586	-0.002170
39.000000	0.841821	0.555459	-0.003472
40.000000	0.844618	0.557870	-0.005015
41.000000	0.839988	0.548708	-0.001591
42.000000	0.845197	0.561343	-0.003086
43.000000	0.835841	0.548129	0.002701
44.000000	0.832079	0.536073	-0.001350
45.000000	0.837963	0.546296	-0.002749
46.000000	0.839313	0.547454	-0.003183
47.000000	0.837288	0.543017	-0.001350
48.000000	0.840567	0.556906	-0.000916
49.000000	0.835166	0.545235	0.001013
50.000000	0.828800	0.537809	-0.000289
51.000000	0.827739	0.529128	0.000338
52.000000	0.826678	0.530285	0.000386
53.000000	0.826678	0.526331	-0.000338
54.000000	0.823688	0.518519	0.001640
55.000000	0.822434	0.515432	0.002749
56.000000	0.828029	0.535494	0.002170
57.000000	0.830343	0.537230	0.006752
58.000000	0.827064	0.531925	0.004678
59.000000	0.829475	0.532311	0.002218
60.000000	0.825907	0.524498	0.003231
61.000000	0.834491	0.539159	0.004051
62.000000	0.833333	0.534529	0.001061
63.000000	0.829282	0.523341	0.004340
64.000000	0.833333	0.534529	0.004678
65.000000	0.825907	0.518615	0.003328
66.000000	0.823399	0.523052	0.004051
67.000000	0.825328	0.525174	0.003279
68.000000	0.827836	0.528356	0.004389
69.000000	0.824846	0.517843	0.002411
70.000000	0.820698	0.508391	0.001350
71.000000	0.819927	0.502315	0.002604
72.000000	0.818962	0.504919	0.000675
73.000000	0.824942	0.514082	0.000723
74.000000	0.818383	0.503954	-0.003038
75.000000	0.821470	0.506462	-0.003569
76.000000	0.825135	0.513889	-0.004678
77.000000	0.827932	0.526042	-0.000482
78.000000	0.823399	0.513600	0.003520
79.000000	0.820216	0.509742	0.001736
80.000000	0.821181	0.512635	0.000772
81.000000	0.821856	0.513600	0.000048
82.000000	0.820602	0.511574	0.001688
83.000000	0.824942	0.523823	-0.000868
84.000000	0.830536	0.528356	-0.005015
85.000000	0.829861	0.521412	-0.004581
86.000000	0.827064	0.524113	-0.004774
87.000000	0.825617	0.516879	-0.004485
88.000000	0.824749	0.519097	-0.002749
89.000000	0.831308	0.533854	-0.004774
90.000000	0.831211	0.531925	-0.004823
91.000000	0.825039	0.529707	-0.004003
92.000000	0.831115	0.537423	-0.006462
93.000000	0.830826	0.529707	-0.008247
94.000000	0.825714	0.527488	-0.008343
95.000000	0.826968	0.523920	-0.006462
96.000000	0.828125	0.530864	-0.010513
97.000000	0.825135	0.520255	-0.008005
98.000000	0.819348	0.501736	-0.009066
99.000000	0.821181	0.507523	-0.007957
100.000000	0.820602	0.505208	-0.005691
101.000000	0.824846	0.515625	-0.005449
102.000000	0.821181	0.505691	-0.008873
103.000000	0.820602	0.509549	-0.007475
104.000000	0.817901	0.506559	-0.005883
105.000000	0.813850	0.500193	-0.005353
106.000000	0.811343	0.488715	-0.002894
107.000000	0.810282	0.484279	-0.006800
108.000000	0.813272	0.488908	-0.005160
109.000000	0.821373	0.505208	-0.002459
110.000000	0.821470	0.503376	-0.003810
111.000000	0.821470	0.509259	-0.001977
112.000000	0.827643	0.522280	-0.001543
113.000000	0.818480	0.504726	-0.000482
114.000000	0.817612	0.505883	0.002074
115.000000	0.817323	0.501157	0.000627
116.000000	0.818866	0.513117	0.001061
117.000000	0.824749	0.520351	-0.000965
118.000000	0.829282	0.528742	-0.001157
119.000000	0.826292	0.529610	-0.000723
120.000000	0.821566	0.517265	0.001109
121.000000	0.819927	0.516397	-0.000530
122.000000	0.824846	0.520640	0.000820
123.000000	0.824363	0.518036	-0.000868
124.000000	0.826871	0.526717	0.000000
125.000000	0.833719	0.540992	0.002508
126.000000	0.832562	0.543596	0.001929
127.000000	0.837481	0.543113	0.002315
128.000000	0.833237	0.540895	0.001591
129.000000	0.833430	0.535494	0.002025
130.000000	0.834105	0.541667	0.004726
131.000000	0.834587	0.546296	0.004292
132.000000	0.833912	0.535012	0.003472
133.000000	0.838445	0.550637	0.005739
134.000000	0.838156	0.553241	0.006125
135.000000	0.831983	0.542342	0.005112
136.000000	0.835262	0.554302	0.002749
