105	0.816551	0.492477	0.238715	0.092496	0.036362	0.010417	0.005015	-0.006076	-0.006462	0.001929	0.000289
210	0.843364	0.570698	0.332755	0.179495	0.083237	0.035976	0.015625	0.010127	-0.009356	0.000868	0.000289
315	0.830247	0.524306	0.266011	0.116223	0.040413	0.011960	0.000193	0.003858	0.002122	0.012153	0.011815
420	0.828318	0.533179	0.286651	0.122782	0.053530	0.024691	0.000386	0.000289	0.004147	0.000000	0.000338
525	0.832176	0.531925	0.282407	0.119406	0.035397	0.006366	-0.005015	-0.004533	0.005208	-0.004147	0.005883
630	0.830922	0.531346	0.286265	0.126447	0.052855	0.019097	-0.002604	0.007330	-0.000868	-0.005112	0.001543
735	0.824074	0.521316	0.269194	0.112944	0.034047	0.006752	0.002122	0.001157	-0.003183	0.003472	0.001350
840	0.818962	0.504823	0.261381	0.110243	0.030478	0.013889	0.001543	-0.002122	0.011960	-0.000482	0.005739
945	0.824267	0.518422	0.273052	0.131366	0.061246	0.019387	0.001447	0.003762	0.006655	0.005787	-0.001688
1050	0.838638	0.554109	0.314429	0.151813	0.072627	0.036073	0.008391	0.004630	0.008005	0.006559	-0.001640
1155	0.828414	0.527006	0.274209	0.111690	0.046875	0.018808	0.016204	0.004244	0.008777	-0.000675	-0.003038
1260	0.830054	0.542535	0.309510	0.160397	0.069444	0.023920	0.016204	0.005787	0.004919	0.001350	0.000096
1365	0.830440	0.536844	0.289545	0.125193	0.045139	0.020640	0.002122	0.000675	-0.005208	-0.008777	0.001784
1470	0.834201	0.548900	0.304880	0.153935	0.058931	0.022184	0.002315	-0.004147	-0.003762	0.002894	0.000675
1575	0.825135	0.518133	0.277971	0.122106	0.038677	0.015239	0.000675	-0.002604	0.002122	-0.000386	0.000048
1680	0.839699	0.546103	0.292052	0.145062	0.074460	0.030285	0.014660	0.010610	0.016782	0.008681	-0.000338
1785	0.820505	0.510899	0.268904	0.129823	0.054977	0.014564	0.008584	0.003086	0.008777	0.003376	-0.003231
1890	0.827160	0.527585	0.278164	0.127122	0.056906	0.012828	0.000193	0.004051	0.000000	-0.001736	-0.007716
1995	0.823110	0.514178	0.266782	0.123071	0.050926	0.018711	0.010320	0.000193	0.004919	0.003376	0.001447
2100	0.824267	0.524691	0.280382	0.127701	0.050540	0.011863	0.005112	-0.003954	-0.004340	-0.001061	-0.003135
2205	0.828125	0.531443	0.274498	0.112172	0.044946	0.010706	-0.000965	-0.000965	0.004823	0.006655	-0.000916
2310	0.843364	0.563947	0.329668	0.171296	0.079572	0.024691	0.012828	0.005208	-0.000386	-0.000868	0.005064
2415	0.824749	0.512442	0.261767	0.120853	0.050347	0.021894	0.000386	0.008777	0.003569	0.002508	-0.006896
2520	0.826871	0.528646	0.293692	0.145158	0.059221	0.010031	-0.002894	0.006559	-0.003665	-0.002701	-0.000579
2625	0.839892	0.565297	0.333816	0.180845	0.091532	0.049672	0.033951	0.022859	0.003086	0.005883	-0.001350
2730	0.835552	0.539834	0.300347	0.147280	0.072338	0.029707	0.012635	0.002701	0.005208	0.002990	-0.004244
2835	0.837095	0.548322	0.303627	0.150849	0.072338	0.022569	0.003762	-0.011574	-0.007137	-0.010513	-0.004051
2940	0.835745	0.541281	0.299286	0.138407	0.062500	0.018519	0.007523	0.002411	-0.009356	-0.001736	0.006510
3045	0.818383	0.510706	0.274402	0.121624	0.054205	0.015432	0.004726	0.004726	-0.000675	-0.002025	-0.001640
3150	0.832272	0.537905	0.289641	0.133681	0.061632	0.024306	0.006076	0.004051	0.002315	0.004533	0.002845
3255	0.831019	0.535204	0.290509	0.131366	0.055363	0.027199	0.015336	0.008970	0.002218	0.002894	-0.001302
3360	0.823688	0.515721	0.271894	0.126543	0.050733	0.009452	-0.004051	-0.006269	0.001929	-0.000579	0.002074
3465	0.834780	0.553241	0.317998	0.164352	0.076003	0.021991	0.015046	0.011863	0.001736	0.001061	-0.004630
3570	0.818191	0.505112	0.257620	0.100887	0.035976	0.007909	-0.007716	-0.007137	-0.001447	-0.003569	-0.000434
3675	0.826968	0.529707	0.282311	0.115066	0.036748	0.012056	-0.007716	-0.002411	0.000289	-0.003858	0.002942
3780	0.826775	0.523534	0.279610	0.120660	0.045718	0.012249	0.006752	-0.001929	0.006752	0.000289	-0.005546
3885	0.831501	0.537230	0.288966	0.127604	0.047550	0.018326	0.010995	-0.004147	-0.005305	-0.008102	-0.002218
3990	0.827257	0.528646	0.279225	0.128279	0.046875	0.017265	0.011478	0.000482	-0.011285	-0.000096	-0.004581
4095	0.831887	0.541667	0.298129	0.137346	0.064236	0.039448	0.015818	-0.002315	-0.002894	-0.000965	-0.005257
4200	0.834394	0.548225	0.308353	0.150463	0.062211	0.021798	0.009259	0.000965	0.008488	0.000289	0.003665
4305	0.830343	0.543885	0.300926	0.129437	0.045814	0.016011	-0.004244	-0.004147	0.003472	0.003279	0.000916
4410	0.833140	0.535204	0.295139	0.145640	0.054688	0.019483	-0.006076	-0.007909	-0.001736	-0.003569	-0.006269
4515	0.823399	0.518229	0.264178	0.108507	0.041570	0.009742	-0.004147	-0.005015	0.006366	0.003472	0.002218
4620	0.837191	0.547164	0.306424	0.153067	0.059992	0.015914	-0.004823	0.004244	-0.007427	-0.000289	-0.001109
4725	0.824653	0.525559	0.286555	0.124518	0.046103	0.009742	0.002218	0.010706	-0.005401	-0.001833	-0.003135
4830	0.825424	0.522955	0.273245	0.116223	0.054012	0.016300	0.003954	-0.001543	0.003665	-0.010513	-0.001495
