# tiempo	mean_var1	std_var1	mean_var2	std_var2	mean_var3	std_var3	mean_var4	std_var4	mean_var5	std_var5	mean_var6	std_var6	mean_var7	std_var7	mean_var8	std_var8	mean_var9	std_var9	mean_var10	std_var10	mean_var11	std_var11
552	0.835070	0.004162	0.542901	0.010279	0.298939	0.011339	0.141551	0.008688	0.056038	0.005810	0.019483	0.004545	0.005363	0.002605	0.001312	0.002920	0.000540	0.003401	-0.003164	0.002338	-0.000415	0.001825
553	0.833430	0.004825	0.541609	0.011253	0.296161	0.012701	0.139333	0.009858	0.053800	0.007831	0.021200	0.004767	0.005787	0.003137	0.002527	0.001068	0.001022	0.002383	0.002778	0.004059	-0.000849	0.001642
554	0.829321	0.003972	0.530285	0.009841	0.283777	0.012251	0.131482	0.011127	0.053163	0.007226	0.013040	0.003087	-0.000868	0.002283	0.000058	0.002931	-0.001022	0.002687	-0.000617	0.001966	-0.001659	0.001510
555	0.826003	0.003318	0.524692	0.008614	0.279726	0.007741	0.129514	0.004813	0.055247	0.005314	0.022917	0.002438	0.006404	0.001555	0.000270	0.000987	-0.004167	0.001639	-0.000135	0.002230	-0.001756	0.001720
556	0.828627	0.001336	0.530594	0.004283	0.282079	0.006336	0.126948	0.006308	0.050193	0.006334	0.020505	0.002712	0.007562	0.002256	0.002546	0.001630	0.002160	0.004048	0.002392	0.003444	-0.001350	0.001309
557	0.830652	0.001538	0.530614	0.004128	0.283719	0.004716	0.130363	0.005170	0.052778	0.005974	0.019715	0.004476	0.002624	0.004206	0.002430	0.000926	0.000135	0.001870	-0.003125	0.001652	0.000048	0.001786
558	0.829745	0.000792	0.533005	0.001502	0.286111	0.002431	0.132118	0.003553	0.050540	0.005186	0.016435	0.001718	0.005131	0.001788	-0.000791	0.001972	-0.004186	0.002765	-0.001138	0.001372	-0.003491	0.002027
559	0.826967	0.001274	0.525347	0.004509	0.277315	0.007692	0.125560	0.007959	0.052025	0.005039	0.017245	0.002908	0.002913	0.001971	0.000617	0.001388	0.000598	0.000297	0.003299	0.002341	-0.004716	0.001132
560	0.828241	0.002721	0.527508	0.007659	0.275482	0.011639	0.125463	0.011244	0.053839	0.007032	0.017959	0.001739	0.003839	0.000951	-0.001042	0.002309	-0.001582	0.002135	0.003588	0.001649	-0.003414	0.001176
561	0.825714	0.002832	0.519001	0.008559	0.271836	0.011595	0.122994	0.011747	0.049749	0.010126	0.017400	0.006252	0.001582	0.001842	-0.001099	0.002912	-0.000154	0.002239	0.001235	0.001637	-0.003328	0.001388
562	0.828626	0.003506	0.527932	0.008858	0.279282	0.010395	0.125714	0.010388	0.049209	0.007774	0.016049	0.005029	0.003897	0.001442	0.001755	0.002061	-0.000752	0.002285	0.001968	0.001461	-0.000164	0.001207
563	0.830999	0.003836	0.531655	0.009423	0.285050	0.011177	0.132600	0.010430	0.054089	0.008657	0.024479	0.004319	0.008218	0.002394	0.000559	0.003786	-0.000193	0.001378	-0.000965	0.001560	-0.002122	0.001525
564	0.829051	0.003985	0.526833	0.010761	0.277392	0.012513	0.129167	0.010210	0.053800	0.006260	0.019155	0.003545	0.007678	0.003129	0.000656	0.001551	0.000231	0.001576	-0.000656	0.001823	-0.000858	0.001014
565	0.829495	0.002833	0.527913	0.008089	0.279784	0.008195	0.126698	0.005843	0.047029	0.006026	0.010803	0.004781	0.002855	0.004590	-0.000656	0.001607	-0.000714	0.002895	-0.002064	0.001489	-0.001186	0.001389
566	0.829553	0.002490	0.530941	0.005958	0.283584	0.006560	0.122512	0.005403	0.043982	0.005689	0.018210	0.004334	0.005208	0.001698	0.004456	0.001569	-0.001099	0.001585	-0.002141	0.001892	-0.004302	0.001314
567	0.828684	0.002937	0.527469	0.008368	0.279996	0.009789	0.126157	0.007172	0.051042	0.005966	0.013561	0.002518	0.004263	0.002586	0.000347	0.002386	0.000386	0.002734	0.000907	0.003253	-0.001939	0.001919
568	0.827450	0.003081	0.526485	0.007661	0.283006	0.009983	0.130286	0.009792	0.052315	0.007811	0.019637	0.005454	0.003781	0.002735	-0.002334	0.001034	0.001080	0.001528	-0.002971	0.000825	-0.000376	0.001430
569	0.829649	0.002441	0.531076	0.007033	0.284838	0.010447	0.130517	0.009610	0.050887	0.007801	0.011593	0.003957	0.001890	0.002521	-0.002836	0.001240	0.001080	0.001291	0.000849	0.001992	-0.000916	0.000866
570	0.829649	0.003039	0.529726	0.007808	0.278993	0.010655	0.126813	0.010983	0.049614	0.007064	0.017033	0.002081	0.001234	0.003057	-0.001389	0.002282	-0.002566	0.002411	-0.002392	0.001707	0.000164	0.000600
571	0.835031	0.003042	0.540548	0.007284	0.290336	0.008775	0.135127	0.008545	0.051543	0.008090	0.017052	0.003812	0.006057	0.002672	0.004031	0.003642	-0.003009	0.002730	0.002623	0.002101	0.000820	0.001609
572	0.834992	0.002883	0.542323	0.006887	0.290355	0.008537	0.133295	0.007752	0.055343	0.005030	0.025251	0.004663	0.008893	0.002592	0.002026	0.002699	-0.000887	0.003010	-0.004012	0.003102	0.000241	0.001225
573	0.831790	0.002875	0.537751	0.008417	0.292882	0.010122	0.138503	0.007810	0.056347	0.005212	0.020428	0.002576	0.003549	0.001861	0.003241	0.001407	0.003337	0.001827	0.003472	0.001860	0.001910	0.001491
574	0.829880	0.002311	0.530864	0.005805	0.284529	0.007969	0.131424	0.006619	0.055498	0.005029	0.021238	0.002951	0.004630	0.002020	0.005845	0.002761	-0.000636	0.002668	0.000097	0.002476	0.000492	0.001943
575	0.830729	0.002213	0.532349	0.006189	0.284953	0.007783	0.132041	0.007565	0.054823	0.004969	0.020004	0.004583	0.006887	0.001348	0.002006	0.003164	-0.001852	0.002551	-0.000965	0.001388	0.001399	0.001355
576	0.830478	0.002432	0.533179	0.006734	0.290895	0.009557	0.138966	0.008747	0.054572	0.006441	0.022743	0.004588	0.005247	0.003908	-0.001891	0.001863	-0.001524	0.002007	-0.000232	0.001686	-0.000019	0.001483
577	0.827276	0.002643	0.522685	0.007567	0.279012	0.010550	0.126543	0.007158	0.050251	0.006499	0.019348	0.004638	0.005324	0.002023	0.003607	0.001940	-0.001215	0.001740	0.000965	0.000958	-0.000656	0.001586
578	0.827180	0.002276	0.524151	0.005473	0.276659	0.005913	0.124518	0.006170	0.049190	0.007829	0.014930	0.003975	0.005575	0.001429	-0.003704	0.002003	-0.000887	0.002071	-0.002662	0.000628	0.001688	0.001795
579	0.827932	0.002397	0.528028	0.007058	0.278144	0.009362	0.123341	0.008959	0.047299	0.007063	0.014738	0.002757	0.007620	0.001843	0.001466	0.001848	0.001794	0.002304	0.001987	0.001718	0.001457	0.001523
580	0.828742	0.002372	0.527952	0.005297	0.276119	0.005673	0.120486	0.005291	0.040741	0.004397	0.013233	0.002521	0.005478	0.003727	0.003569	0.001161	0.000540	0.002656	-0.001292	0.001967	0.000791	0.001448
581	0.827199	0.002171	0.527681	0.005199	0.276891	0.005182	0.122627	0.006596	0.046740	0.006635	0.013619	0.003754	0.006038	0.002048	0.002199	0.001892	-0.000540	0.001703	0.003569	0.002610	-0.000444	0.001256
582	0.828472	0.002867	0.527701	0.006371	0.279900	0.006914	0.126196	0.006439	0.048476	0.002813	0.015606	0.002344	0.004610	0.002695	0.000309	0.003728	-0.001080	0.003098	-0.000328	0.002383	-0.001755	0.001201
583	0.829360	0.001973	0.531057	0.004901	0.281616	0.005122	0.127257	0.003217	0.049788	0.004541	0.017959	0.003516	0.002855	0.003510	0.001755	0.001798	0.000810	0.001175	-0.000212	0.001602	-0.001910	0.000162
584	0.828164	0.001213	0.524923	0.003154	0.274190	0.004091	0.120139	0.004741	0.046239	0.004489	0.015934	0.004140	0.000463	0.001932	0.002026	0.002542	-0.000096	0.001475	0.000386	0.001972	-0.003337	0.000470
585	0.826485	0.001385	0.523418	0.002967	0.276813	0.003347	0.126562	0.004660	0.048476	0.004451	0.018962	0.004120	0.009221	0.002788	0.001389	0.002342	-0.000598	0.002251	-0.000502	0.000696	-0.002990	0.000707
586	0.827758	0.002838	0.527623	0.005207	0.276890	0.006551	0.122685	0.006181	0.051177	0.004883	0.018306	0.003961	0.003029	0.003052	0.003646	0.002154	0.001717	0.001550	0.001852	0.001744	-0.004900	0.001177
587	0.829861	0.003126	0.529668	0.007438	0.272782	0.009724	0.117303	0.009436	0.042689	0.007151	0.015606	0.004444	0.005536	0.002469	0.000521	0.002182	0.002025	0.001202	0.000887	0.000417	-0.004176	0.001679
588	0.831385	0.003225	0.532928	0.008003	0.285185	0.009492	0.129977	0.007884	0.051505	0.005859	0.016358	0.005468	0.003588	0.002601	0.001447	0.000859	0.006212	0.002206	0.000791	0.001906	-0.003472	0.002139
589	0.830922	0.002516	0.535841	0.005669	0.286921	0.007791	0.129205	0.006212	0.047396	0.005768	0.012635	0.004442	0.002836	0.002528	0.001042	0.002575	0.000424	0.002372	-0.002894	0.001868	-0.002363	0.001910
