105	0.836227	0.550347	0.311150	0.155768	0.064333	0.037712	0.009742	0.005112	0.000965	0.000965	0.005401
210	0.830440	0.529996	0.276524	0.106964	0.028935	0.014660	-0.001736	-0.002604	-0.005980	0.002604	0.003038
315	0.835841	0.540220	0.285204	0.138985	0.060667	0.020448	-0.001640	0.003762	0.006752	0.000579	0.006462
420	0.835938	0.542438	0.291860	0.133295	0.047357	0.019194	0.010127	0.005883	0.006752	0.002218	-0.004871
525	0.851755	0.587674	0.353395	0.186246	0.086613	0.029803	0.017072	0.000579	-0.004919	-0.012056	0.004437
630	0.836130	0.544174	0.294271	0.126833	0.057581	0.018904	0.004630	-0.009742	-0.004051	0.002315	-0.001206
735	0.839217	0.547261	0.303241	0.151524	0.069637	0.022569	0.005691	-0.001447	0.005112	-0.003762	0.010561
840	0.828511	0.523245	0.263407	0.099151	0.028646	-0.004147	-0.005208	0.004823	-0.002122	-0.001447	-0.007523
945	0.831211	0.536555	0.288677	0.140432	0.061632	0.026042	0.009066	0.005691	0.003183	0.009645	0.007475
1050	0.825039	0.529225	0.294850	0.141204	0.058642	0.019676	0.007909	0.006366	0.008295	-0.001061	-0.003472
1155	0.823688	0.523727	0.281250	0.126929	0.055363	0.022377	0.016686	0.007523	0.001350	0.000193	0.004051
1260	0.845004	0.573206	0.331501	0.163870	0.072820	0.029803	0.003086	0.005401	0.000772	-0.001061	-0.008488
1365	0.838542	0.549190	0.293789	0.128376	0.049093	0.018808	0.006173	-0.007909	-0.005498	0.003376	0.004726
1470	0.832272	0.532600	0.296296	0.148341	0.070602	0.034047	-0.004051	0.003858	-0.008970	-0.003086	0.001784
1575	0.835552	0.547840	0.307774	0.155093	0.068191	0.017265	0.011188	0.005980	0.007427	0.001929	0.001399
1680	0.832079	0.534433	0.272762	0.124711	0.060667	0.023052	-0.003183	-0.003762	-0.012346	0.000579	-0.008825
1785	0.834877	0.542245	0.294946	0.143904	0.057195	0.011767	0.003279	0.008198	-0.010802	0.007137	-0.000627
1890	0.833237	0.541763	0.303916	0.149691	0.059414	0.022184	0.006752	0.005208	0.001350	0.000482	0.002845
1995	0.828414	0.533468	0.288580	0.143808	0.067612	0.029514	0.012635	0.009163	-0.004726	-0.001640	0.001977
2100	0.828800	0.528453	0.278260	0.119599	0.038870	0.017650	0.005208	0.002894	0.009163	-0.005208	-0.004726
2205	0.831887	0.534722	0.285494	0.133584	0.046007	0.013985	-0.006076	-0.013985	-0.010513	0.002604	-0.004726
2310	0.825714	0.519483	0.267554	0.110725	0.050540	0.009549	0.003954	0.009838	0.010802	0.001350	-0.005691
2415	0.826775	0.524402	0.269483	0.114390	0.040702	0.009452	-0.002411	-0.003762	0.000096	0.004244	0.005160
2520	0.836227	0.545910	0.289738	0.140046	0.059510	0.019387	0.007234	0.004726	-0.000675	-0.011092	-0.001302
2625	0.827353	0.523148	0.276138	0.126833	0.043596	0.016590	0.012924	-0.001061	0.005787	-0.000772	0.000579
2730	0.830633	0.527392	0.281250	0.128954	0.053434	0.019387	0.005305	0.007137	0.003762	0.004437	0.001784
2835	0.836323	0.545814	0.298418	0.139371	0.049286	0.023438	-0.000482	0.003762	0.009259	0.007620	0.000386
2940	0.831597	0.535108	0.285976	0.127122	0.046875	0.018326	0.017072	0.000482	0.003665	-0.000096	0.004630
